org,analysis,notebook,index,cell,name,mark,total,percent
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,0,paragraph 1,combine periodic data,✔️,5,0.1
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,1,paragraph 1,extract data from pdf,✔️,1,0.02
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,2,1,annotations,✔️,5,0.1
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,3,1,load,✔️,42,0.84
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,4,1.1,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,5,1.2,join aggregate,✔️,3,0.06
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,6,1.3,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,7,1.4,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,8,1.5,export,✔️,32,0.64
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,9,1,repetitive code,✔️,17,0.34
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,10,1.6,load,✔️,42,0.84
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,11,1.7,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,12,1.8,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,13,1.9,aggregate join,✔️,1,0.02
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,14,1.10,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,15,1.11,impute missing data,✔️,5,0.1
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,16,1.12,figure a rate,✔️,23,0.46
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,17,1.13,export,✔️,32,0.64
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,18,1.14,load,✔️,42,0.84
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,19,1.15,change var type,✔️,34,0.68
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,20,1.16,aggregate join,✔️,1,0.02
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,21,1.17,canonicalize variable names,✔️,31,0.62
baltimore-sun-data,2018-voter-registration,01_processing.ipynb,22,1.18,impute missing data,✔️,5,0.1
