parent,name,desc,level,is_leaf,analysis
root,actions,Codes that describe actions the journalist has taken to wrangle data for further analysis,0,False,50
actions,import,How raw data is introduced into the programming/wrangling environment,1,False,39
import,fetch,Data is retrieved from some external sources to the programming environment,2,False,6
fetch,pull tables out of pdf,"Using a table extraction tool, such as Tabula, to parse tables inside PDF documents.",3,True,1
fetch,api request,"Make a request to a web API, such as addresses translation service for lat-long coordinates from Bing.",3,True,1
fetch,query database,Data is imported through a database query,3,True,1
fetch,scrape web for data,Systematically parsing HTML web pages for relevant data,3,True,3
import,create,Data is created inside the programming environment,2,False,9
create,construct table manually,Using tables where column names and table values were either copy-and-pasted or entered manually.,3,True,5
create,generate data computationally,Using tables populated programmatically.,3,True,2
create,copy table schema,"A table is copied without any values but table column names and type identical, or nearly identical, to another table",3,True,1
create,backfill missing data,Create data observations where there are missing entries.,3,True,2
import,load,"Raw data resides on the local disk and is *loaded* into the environment, includes these file formats: .csv, .xlsx, .fec, .shp, .RData, etc.",2,True,35
actions,recalculate,Expanding the table by calculating new columns based on existing columns without *integrating* other tables.*,1,False,32
recalculate,detrend,"""filter out the secular effect in order to see what is going on specifically with the phenomenon you are investigating,"" Philip Meyer in *Precision Journalism*.",2,False,5
detrend,adjust for inflation,TK,3,True,3
detrend,compute index number,TK,3,True,1
detrend,adjust for season,Making seasonal adjustments to the data to detrend for seasonal trends.,3,True,1
recalculate,formulate performance metric,"Perform a calculation that is later used to compare different entities or the same entity over time. A recurring theme between many of these notebooks is to compare different entities, such as political parties, by a common, quantitative metric, such as percentage of all newly registered voters.",2,False,30
formulate performance metric,standardize values,"Measuring deviation from some definition of ""normal"", e.g. Z-scores",3,True,3
formulate performance metric,figure a rate,"Convert numbers to a normalized rate to ""provide a comparison against some easily recognized baseline"" Philip Meyer in *Precision Journalism*",3,True,16
formulate performance metric,calculate central tendency,"Measuring what a typical value is in the data, e.g. mean, median.",3,True,6
formulate performance metric,calculate change over time,Such as the percentage difference over time.,3,True,7
formulate performance metric,calculate spread,Calculating the difference between two values or rates,3,True,8
formulate performance metric,domain-specific performance metric,"A domain specific metric, such as the Cube Root Law for legislatures.",3,True,2
formulate performance metric,get extreme values,Calculate the highest or lowest value(s),3,True,2
actions,modify,*Modifying* the data constitutes make minor changes without *integrating* other tables.,1,False,35
modify,encode table identification in row,"When some way of identifying the table is encoded as a separate column in each row. Common identification methods include the name of the corresponding file, an arbitrary table name, or boolean value",2,True,4
modify,network-ify the data,"When the data is inherently a graph, encode table columns and values to represent this structure tabularly",2,False,1
network-ify the data,create edge,"A column with value that define a relationship to another row, which is not necessarily in a different table",3,True,1
network-ify the data,define edge weights,Columns that define edge weights,3,True,1
modify,generate keys,"Operations that create ""key"" columns.",2,False,8
generate keys,create soft key,"Keys used in matching without a guarentee of uniqueness, such as combinations of names and addresses",3,True,5
generate keys,create a unique key,Journalist create a key that is actually unique in the table,3,True,4
modify,rank data,Operations that encode semantic meaning about the data with table index.,2,False,15
rank data,assign ranks,When a column of numerical ranks is explicitly assigned to rows in the table.,3,True,1
rank data,sort table,When rank is implicitly assigned by rearranging row position in the table.,3,True,15
modify,column reshaping,Codes concerning either separating one column into more than one or combining more than one column into one.,2,False,16
column reshaping,extract column values,Separating a column containing multiple rows,3,True,13
column reshaping,combine columns,"Combining two columns into one, either through concatenation, addition, etc...",3,True,5
modify,create flag,Flags are boolean expressed computed upon column values and used in filtering and grouping,2,True,4
modify,pad column values,Adding either character prefixes or suffixes consistently to every row within a column,2,True,2
modify,scale values,Operations that apply some mathematical operation to columns of quantitative data. This code is different from the codes under **Formulate performance metric** because this closer to cleaning.,2,True,2
modify,consolidate values of a single column,Codes that map a set of entities to a smaller set of entities,2,False,8
consolidate values of a single column,bin values,Consolidating a range of quantitative data into ordinal data,3,True,1
consolidate values of a single column,combine entities,Consolidating a range of categorical values into a smaller set of categorical values,3,True,7
actions,clean,"Operations to correct data that might be considered ""dirty""",1,False,38
clean,trim fat,Remove complete sections of data that just are relevant,2,False,30
trim fat,subset columns,Removing columns from a table by specifying which ones to remove or keep.,3,True,22
trim fat,winnow rows,"Simply put, these operations remove table rows.",3,False,24
winnow rows,trim by date range,Removing rows that are inside or outside a specific date range.,4,True,12
winnow rows,trim by geographic area,Remove rows that are inside or outside the geographic area.,4,True,5
winnow rows,trim by quantitative threshold,"Remove rows that are above, below, equal to, or not equal to a numeric value.",4,True,9
winnow rows,trim by contains value,Remove rows that do or do not contain specific values or types of values.,4,True,12
clean,remove incomplete data,"Drop row if value(s) are incomplete, usually denoted as NA.",2,True,3
clean,deduplicate,"Remove rows that contain two or more of the same observation, with identical values in all, one, or zero columns.",2,True,8
clean,fix values,Individual values have errors that must be corrected.,2,False,14
fix values,resolve entities,Classic entity resolution: a column of categorical values has different names for the same entity.,3,True,3
fix values,fix data errors manually,Instances where individual row-column values are changed manually.,3,True,2
fix values,fix mixed data types,"Sometimes a column with be mixed with two data type, e.g. integers and strings.",3,True,1
fix values,remove value characters,"When characters inside a value are removed, such as periods, commas, dollar signs, etc",3,True,7
fix values,replace na values,Raw data may contain incomplete table values (denoted as NA) or empty values (denoted as NULL),3,True,4
fix values,strip whitespace,Removing extra whitespace characters from entity name,3,True,2
clean,format,Operations that modify the table values appearance or style,2,False,30
format,format values,"Operations that change value appearence, e.g. change case, specifying date format, rounding floats.",3,True,7
format,format schema,Operations that modify anything except table values,3,False,29
format schema,canonicalize column names,Operations that change column names,4,True,25
format schema,change column data type,"For example, changing a column of values from strings to integers",4,True,16
actions,integrate,Combining data residing in different tables into one table.,1,False,34
integrate,union tables,TK,2,True,16
integrate,inner join tables,TK,2,True,4
integrate,supplement,Supplementation is characterized by integration operations that essentially add columns to existing data,2,False,22
supplement,outer join tables,"A join that returns rows with no corresponding match in the table being joined two, e.g. left or right joins.",3,True,17
supplement,full join tables,Combine all rows and all columns of the two tables. a.k.a full outer join,3,True,5
supplement,concat parallel tables,"When columns from multiple, parallel tables are concatenated together to form a new table.",3,True,1
supplement,use lookup table,Using a table with two columns to map from one value to another.,3,True,5
integrate,cartesian product,TK,2,True,2
integrate,self join table,Join a table with itself,2,True,1
actions,transform,"Operations that transform a table into an aggregated, lower-resolution view of the original table.",1,False,28
transform,summarize,Codes that aggregate and calculate tables to get a more coarse view of the data.,2,False,20
summarize,rollup,Rename entity to the name of its parent (for hierarchical data),3,True,2
summarize,join aggregate,"Extend the table (columnwise) with aggregate values, hence the number of rows stays constant but columns increase",3,True,2
summarize,group by single column,When a table is grouped by a single column.,3,True,13
summarize,group by multiple columns,"When a table is grouped by multiple columns, creating hierarchy.",3,True,11
summarize,rolling window calculation,Performs rolling-window aggregation,3,True,4
summarize,create frequency table,Count the frequency of non-quantitative variables within a column,3,True,7
transform,reshape,"Operations fundamentally change the table's structure, but do not perform any kind of summarization calculation. *Constructing a pivot table* often involves a *spread-like* operation when defining what values to use as columns in the new table. The difference with *reshaping* is that sometimes the journalist may not summarize the reshaped table.",2,False,17
reshape,spread table,Expand two columns of key value pairs into multiple columns.,3,True,5
reshape,gather table,Collapses table into key value pairs.,3,True,5
reshape,cross tabulate,such as with a pivot table/crosstab,3,True,9
actions,display dataset,Different ways to check in on the state of the dataset during wrangling.,1,False,19
display dataset,format table display,"Operations that adjust the table displace, such as how many decimals to round floats",2,True,6
display dataset,visualize data,"Employing any kind of data visualization, including a table",2,True,18
display dataset,describe statistically,"Generates any kind of descriptive statistics of the dataset's central tendency, dispersion and distribution shape",2,True,2
actions,check sanity,Operations that confirm the effect of a previous wrangling operation.,1,False,25
check sanity,run a test,"Operations output a clear pass or fail value, often implemented by counting things",2,False,5
run a test,report rows with column number discrepancies,Finds if a row has a different number of columns than the header row,3,True,1
run a test,test for equality,"Test if two data structures are exactly the same, e.g. two data frames",3,True,2
run a test,test different computations for equality,Test the results of a calculation against different methods/packages. The Upshot did this with variance.,3,True,1
run a test,validate data quality with domain-specific rules,Such as if the average temperature is higher than the maximum recorded temperature,3,True,1
check sanity,check results,Operations that output some visual representation of the table,2,False,20
check results,peek at data,Display the first *n* rows and all columns of the table,3,True,17
check results,inspect table schema,Check the data types of columns,3,True,4
check results,display rows with missing values,E.g. filtering rows with a NA value in a particular column,3,True,1
check results,check for nas,See if any rows have NA values.,3,True,1
check sanity,count the data,Operation that count things in the data set,2,False,8
count the data,count number of rows,Printing out the total number of rows in a table,3,True,5
count the data,count unique values,Report the number of unique values in one or more columns,3,True,3
actions,export,Ways in which journalist export the results of their data wrangling.,1,True,19
root,observations,"These codes cover observations from the coder about the wrangling processes, not actions performed by the journalist.",0,False,49
observations,data acquisition,How the data was acquired by journalists,1,False,23
data acquisition,collect raw data,Using first-hand observations or logs as data.,2,True,5
data acquisition,use previously cleaned data,Data that originated from a colleague.,2,True,1
data acquisition,use public data,"Includes open-source datasets, tables on Wikipedia, etc..",2,True,2
data acquisition,use academic data,,2,True,1
data acquisition,"use non-public, provided data",,2,True,2
