parent,name,alias,desc,level,is_leaf,type,shortcode,total,percent
root,import,,How raw data is introduced into the wrangling environment,0,False,actions,A.I,48,0.96
import,fetch,,Data is retrieved from a source external to the wrangling environment,1,False,actions,A.I.a,6,0.12
fetch,extract data from pdf,,"Using a data extraction tool, such as Tabula, to parse tables inside PDF documents",2,True,actions,A.I.a.1,1,0.02
fetch,api request,Make an API Request,Making a request to a web service,2,True,actions,A.I.a.2,1,0.02
fetch,query database,Query a Database,Importing data through a database connection,2,True,actions,A.I.a.3,1,0.02
fetch,scrape web for data,Scrape the Web for Data,Parsing HTML web pages for data,2,True,actions,A.I.a.4,3,0.06
import,create,,Data is created inside the wrangling environment,1,False,actions,A.I.b,26,0.52
create,construct data manually,,The data is either copy-and-pasted or values are created manually,2,True,actions,A.I.b.1,7,0.14
create,generate data computationally,,Using data with values generated programmatically,2,True,actions,A.I.b.2,4,0.08
create,copy table schema,Copy Data Schema,Data is copied with a schema but without any values,2,True,actions,A.I.b.3,1,0.02
create,impute missing data,,"Replace missing data values either manually, through data entry, or systematically through an R functions such as `lag`.",2,True,actions,A.I.b.4,5,0.1
create,create child table,Create Child Dataset,A child dataset is a subset of the parent dataset declared as a new object in the environment.,2,True,actions,A.I.b.5,18,0.36
import,load,,Data resides on the local disk and is loaded into the environment,1,True,actions,A.I.c,42,0.84
root,clean,,"The process of removing incorrect, incomplete, inaccurate, misformatted or otherwise corrupt observations, variables, and values within a dataset.",0,False,actions,A.C,41,0.82
clean,remove,,"Approaches to cleaning data that involve removing observations, variables, and values",1,False,actions,A.C.a,21,0.42
remove,deduplicate,,Remove duplicate observations,2,True,actions,A.C.a.1,10,0.2
remove,remove non-data rows,,Remove notes and comments that are not observations,2,True,actions,A.C.a.2,6,0.12
remove,remove incomplete data,,"Drop observation if it contains incomplete values, often denoted as NA or Null",2,True,actions,A.C.a.3,13,0.26
clean,replace,,"Approaches to data cleaning that involve replacing observations, variables, and values",1,False,actions,A.C.b,21,0.42
replace,replace na values,,Journalists replace NA values of a variable with another values. NA values can be denoted in various ways,2,True,actions,A.C.b.1,12,0.24
replace,edit values,,"Existing data values are incorrect, but not NA, and must be changed by the journalist",2,True,actions,A.C.b.2,5,0.1
replace,resolve entities,,"Resolving the issue of different categorical values for the same entitiy. This wrangling actions is particularly suited towards fixing common data issues such as misspellings, inconsistent date formats, and name ordering.",2,True,actions,A.C.b.3,4,0.08
replace,standardize categorical variables,,"Make levels conform to some set of rules, such as replacing whitespace for underscore, trimming whitespace, etc",2,True,actions,A.C.b.4,5,0.1
replace,scale values,,"Operations that apply some mathematical operation to a quantitative variable in the spirit of fixing data errors. For example, quantitative data may be in the millions and only display significant digits.",2,True,actions,A.C.b.5,4,0.08
clean,reformat,,"Wrangling operations that modify the table entry's appearance or style, but not value",1,False,actions,A.C.c,39,0.78
reformat,format values,,"Operations that change value appearence, but not the underly variable type: changing case, specifying date format, rounding floats",2,True,actions,A.C.c.1,15,0.3
reformat,canonicalize variable names,,Operations that change column names,2,True,actions,A.C.c.2,31,0.62
reformat,change var type,Change Variable Type,"Change a variable type: dates, string, currencies, numerics. This operation can be done to addresses variables with mixed data types",2,True,actions,A.C.c.3,34,0.68
root,merge,,Operations that combining multiple datasets,0,False,actions,A.M,36,0.72
merge,union datasets,,Combining multiple datasets with identical variables into one dataset,1,True,actions,A.M.a,18,0.36
