Unemployment rates,,,,,,,,,,,,,,,,
As a percentage of total labour force,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,
,Native,,,,Foreign..born,,,,Native,,,,Foreign..born,,,
,1995,2000,2003,2004,1995,2000,2003,2004,1995,2000,2003,2004,1995,2000,2003,2004
Australia,8.4,6.6,6.0,5.6,10.6,6.5,6.5,5.5,7.7,5.8,6.1,5.7,9.6,7.0,6.5,5.6
Austria,3.6,4.3,4.4,4.3,6.6,8.7,9.7,11.2,4.6,4.2,4.0,4.3,7.3,7.2,6.6,10.7
Belgium,6.3,4.2,6.0,5.6,16.9,14.7,18.3,14.9,11.2,7.4,6.9,7.5,23.8,17.5,17.3,15.0
Canada,8.6,5.7,6.5,..,10.4,6.1,7.8,..,9.8,6.2,5.9,..,13.3,8.7,9.9,..
Czech Republic,..,..,5.8,7.0,..,..,9.0,12.4,..,..,9.6,9.6,..,..,15.7,13.5
Denmark,6.4,3.4,3.8,4.6,20.5,9.5,8.8,11.8,8.4,4.3,4.2,5.2,20.7,9.6,8.7,12.7
Finland,17.7,10.3,10.9,9.9,..,..,18.4,21.3,16.1,12.0,9.7,10.2,..,..,20.0,25.3
France,9.1,7.7,7.3,8.0,16.6,14.5,15.4,13.8,13.6,11.3,9.2,9.9,19.0,19.7,16.4,17.4
Germany,..,6.9,9.3,10.3,..,12.9,16.9,18.3,..,8.0,8.8,9.6,..,12.1,14.0,15.2
Greece,6.1,7.4,5.8,6.5,14.0,9.5,6.5,6.5,13.7,16.6,13.7,15.7,20.8,21.1,15.7,19.1
Hungary,..,7.3,6.2,5.9,..,..,..,2.0,..,5.8,5.4,5.9,..,..,..,6.4
Ireland,12.0,4.4,4.8,4.9,16.8,..,6.6,6.7,11.9,4.2,3.8,3.7,15.4,..,6.0,5.3
Italy,9.3,8.4,7.0,6.4,..,6.5,3.8,6.2,16.3,14.9,12.0,10.1,23.5,21.2,10.5,13.2
Luxembourg,..,..,2.3,2.4,..,..,3.9,4.4,..,..,3.6,4.5,..,..,5.9,9.6
Netherlands,4.9,1.8,2.8,3.6,19.5,5.4,9.1,10.3,7.7,3.0,3.2,4.3,19.8,7.6,8.6,10.6
Norway,..,3.4,4.0,4.3,..,6.8,11.1,8.9,..,3.2,3.8,3.7,..,..,..,7.3
Portugal,6.6,3.1,5.3,5.7,..,3.9,7.9,9.8,7.8,4.9,7.4,7.4,..,5.4,10.4,9.6
Slovak Republic,..,..,17.0,17.8,..,..,..,17.9,..,..,17.2,19.5,..,..,..,30.5
Spain,18.0,9.5,7.9,7.8,24.4,12.4,10.4,11.4,30.5,20.5,15.8,15.1,30.5,20.7,17.2,17.1
Sweden,7.9,5.1,5.2,6.2,24.8,12.3,12.7,14.2,6.6,4.2,4.4,5.2,18.5,10.8,9.5,12.6
Switzerland,..,..,2.8,2.9,..,..,7.2,7.5,..,..,3.0,3.4,..,..,9.1,9.2
United Kingdom,9.9,5.9,5.2,4.7,14.2,9.6,8.1,7.3,6.7,4.6,3.9,3.9,10.9,7.8,6.3,7.3
United States,6.2,4.5,7.0,6.9,7.9,4.5,7.2,5.8,5.3,4.2,5.7,5.5,8.2,5.5,8.0,6.8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
